
Customer logged in.,6 May 2019 01:15 
Customer Default Customer printed his own information.,6 May 2019 01:15 
Customer Default Customer changed his location.,6 May 2019 01:15 
Customer Default Customer changed his shipping info.,6 May 2019 01:16 
Customer Default Customer changed his credit card info.,6 May 2019 01:16 
Customer failed to log in.,6 May 2019 01:16 
Provider logged in.,6 May 2019 01:16 
Provider Default Provider printed his own information.,6 May 2019 01:16 
Provider Default Provider printed his orders.,6 May 2019 01:16 
Provider Default Provider printed order with id 4.,6 May 2019 01:16 
Provider Default Provider printed the total value of his orders.,6 May 2019 01:16 
Provider failed to log in.,6 May 2019 01:16 
Cashier logged in.,6 May 2019 01:16 
Cashier Default Cashier printed his own information.,6 May 2019 01:16 
Cashier Default Cashier has been fired.,6 May 2019 01:16 
Cashier Default Cashier printed his own information.,6 May 2019 01:16 
Cashier failed to log in.,6 May 2019 01:16 
User printed the stocks.,6 May 2019 01:17 
User printed the stock for product with id 35.,6 May 2019 01:17 
User printed all tickets.,6 May 2019 01:17 
User printed the ticket with id 1.,6 May 2019 01:17 
